u_lat,u_lon,v_lat,v_lon
32.0698571,34.7704802,32.0698237,34.7704715
32.0698571,34.7704802,32.0698257,34.7704263
32.0698571,34.7704802,32.0702244,34.7702978
32.0698571,34.7704802,32.0694666,34.7706208
32.0698571,34.7704802,32.0698708,34.770514
32.0698237,34.7704715,32.0694988,34.7703797
32.0694988,34.7703797,32.0694898,34.7704468
32.0694988,34.7703797,32.0689437,34.7700052
32.0694988,34.7703797,32.0695241,34.7703573
32.0694988,34.7703797,32.069688,34.7702127
32.0694988,34.7703797,32.0695021,34.7704189
32.0689437,34.7700052,32.0688266,34.769969
32.0688266,34.769969,32.0682607,34.7700434
32.0682607,34.7700434,32.0676912,34.7701183
32.0682607,34.7700434,32.0682717,34.7699947
32.0676912,34.7701183,32.0667929,34.7702702
32.0667929,34.7702702,32.0667362,34.7702835
32.0667362,34.7702835,32.0668179,34.7703502
32.0667362,34.7702835,32.0666686,34.7702282
32.0667362,34.7702835,32.0666971,34.7702926
32.0698257,34.7704263,32.069688,34.7702127
32.069688,34.7702127,32.0693843,34.7698463
32.069688,34.7702127,32.069972,34.7699562
32.0693843,34.7698463,32.0697257,34.769528
32.0693843,34.7698463,32.0690532,34.7694507
32.0690532,34.7694507,32.0694276,34.7690864
32.0690532,34.7694507,32.0687786,34.7691046
32.0687786,34.7691046,32.0687495,34.7690678
32.0687786,34.7691046,32.0687652,34.7691238
32.0687495,34.7690678,32.0690743,34.7687525
32.0687495,34.7690678,32.0685534,34.7688288
32.0685534,34.7688288,32.068351,34.7685395
32.0685534,34.7688288,32.0688995,34.7684342
32.068351,34.7685395,32.0682696,34.7684283
32.0682696,34.7684283,32.068124,34.7682253
32.068124,34.7682253,32.0680046,34.7680588
32.0680046,34.7680588,32.0679725,34.768014
32.0679725,34.768014,32.0678881,34.7679224
32.0678881,34.7679224,32.0676698,34.7676853
32.0676698,34.7676853,32.067168,34.7671226
32.074999,34.7735318,32.0749539,34.7734977
32.0749539,34.7734977,32.0748031,34.7733906
32.0748031,34.7733906,32.0740955,34.7728802
32.0740955,34.7728802,32.0739334,34.7727716
