id,center_lat,center_lon,total_points,boundary_white_lines,coords_json
poly_0,32.07076098463413,34.7689302412504,10,"[""36"", ""13"", ""11"", ""47""]","[[32.0710277, 34.7690351], [32.0707531, 34.7686079], [32.0704936, 34.7688274], [32.0707703, 34.769252], [32.0710277, 34.7690351]]"
poly_1,32.070250183505635,34.77002700442716,11,"[""24"", ""68"", ""26"", ""65"", ""55""]","[[32.0702611, 34.7697284], [32.0705027, 34.7701611], [32.0702244, 34.7702978], [32.0700183, 34.7699677], [32.0700257, 34.7699583], [32.07003, 34.7699464], [32.0700305, 34.7699334], [32.0700283, 34.7699237], [32.0700245, 34.769916], [32.0702611, 34.7697284]]"
poly_2,32.07104045217603,34.770934072763424,15,"[""96"", ""95"", ""38"", ""15"", ""16""]","[[32.07146, 34.7709388], [32.0711987, 34.7710837], [32.0708205, 34.7712678], [32.0706638, 34.7708913], [32.071118, 34.7706612], [32.0711809, 34.7705824], [32.071415, 34.7708952], [32.07146, 34.7709388]]"
poly_3,32.069696520044396,34.76987547793155,13,"[""64"", ""0"", ""3"", ""89"", ""9""]","[[32.0693843, 34.7698463], [32.069688, 34.7702127], [32.069972, 34.7699562], [32.0699697, 34.7699499], [32.0699681, 34.7699373], [32.0699702, 34.7699248], [32.0699758, 34.7699138], [32.0699843, 34.7699058], [32.0699622, 34.7698736], [32.0697257, 34.769528], [32.0693843, 34.7698463]]"
poly_4,32.06999944423947,34.7699381505636,4,"[""8"", ""55"", ""9"", ""63""]","[[32.069972, 34.7699562], [32.0699789, 34.7699661], [32.0699881, 34.7699727], [32.0699987, 34.7699752], [32.0700094, 34.7699733], [32.0700183, 34.7699677], [32.0700257, 34.7699583], [32.07003, 34.7699464], [32.0700305, 34.7699334], [32.0700283, 34.7699237], [32.0700245, 34.769916], [32.0700195, 34.7699097], [32.0700142, 34.7699056], [32.0700036, 34.7699015], [32.0699927, 34.769902], [32.0699843, 34.7699058], [32.0699758, 34.7699138], [32.0699702, 34.7699248], [32.0699681, 34.7699373], [32.0699697, 34.7699499], [32.069972, 34.7699562]]"
poly_5,32.07052262234532,34.769845277633685,11,"[""24"", ""28"", ""25"", ""30""]","[[32.0707997, 34.7700064], [32.0705027, 34.7701611], [32.0702611, 34.7697284], [32.0705052, 34.7694941], [32.0707747, 34.7699557], [32.0707997, 34.7700064]]"
poly_6,32.06968241199558,34.770357931379955,7,"[""85"", ""73"", ""72""]","[[32.0698571, 34.7704802], [32.0698257, 34.7704263], [32.069688, 34.7702127], [32.0694988, 34.7703797], [32.0698237, 34.7704715], [32.0698571, 34.7704802]]"
poly_7,32.06995013054967,34.7702266622055,12,"[""73"", ""64"", ""74"", ""65"", ""63""]","[[32.0700183, 34.7699677], [32.0702244, 34.7702978], [32.0698571, 34.7704802], [32.0698257, 34.7704263], [32.069688, 34.7702127], [32.069972, 34.7699562], [32.0699789, 34.7699661], [32.0699881, 34.7699727], [32.0699987, 34.7699752], [32.0700094, 34.7699733], [32.0700183, 34.7699677]]"
poly_8,32.069395078573415,34.76947377644431,14,"[""0"", ""92"", ""1"", ""76""]","[[32.0694276, 34.7690864], [32.0690532, 34.7694507], [32.0693843, 34.7698463], [32.0697257, 34.769528], [32.0695592, 34.7692847], [32.0694276, 34.7690864]]"
poly_9,32.06999293497149,34.7696173124227,11,"[""27"", ""3"", ""26"", ""2"", ""8""]","[[32.0699823, 34.7692942], [32.0702611, 34.7697284], [32.0700245, 34.769916], [32.0700195, 34.7699097], [32.0700142, 34.7699056], [32.0700036, 34.7699015], [32.0699927, 34.769902], [32.0699843, 34.7699058], [32.0699622, 34.7698736], [32.0697257, 34.769528], [32.0699823, 34.7692942]]"
